name	author	downloadCount	description	creationTime	downloadRate
Create: Fishing Bobber Detector | Automatic Fishing with Create	GLaD0S	1500000	Automatic fishing with create	677	2215.6573116691284
Crafting Recipes For Create	braydog2040	19400	Crafting Recipes For Create	501	38.72255489021956
Create: Genderless	DakotaPrideModding	631	An Addon for Create: Estrogen/Testosterone that adds more uses to Gender Fluid, along with new...	21	30.047619047619047
Sophie's Alloys	Bentcheesee	137	A mod designed to revamp how tool progression works in Minecraft, while also giving options...	70	1.957142857142857
Create: Cold Sweat	TheOrionPax	72900	Bridge mod between Create and Cold Sweat	139	524.4604316546763
Create: Portable Addition	FLa1c	123	An addon to the Create craft addition that adds portable accumulators.	NaN	NaN
Create Railways Navigator	MrJulsen	2100000	Get possible train connections in your world from one station to another using the Create...	577	3639.514731369151
Create Big Cannons	rbasamoyai	9200000	Artillery engineering comes to Create	1056	8712.121212121212
MinheurModding Bits'n'bobs	minheur2000	574	Craft spawn eggs, spawners and more !	353	1.6260623229461757
Create: Better Motors	Reggarf	241000	Addon for Create: Craft & Additions, introducing upgraded versions of the 7 Electric Motor and...	171	1409.3567251461989
Create: Structures Arise	SmartStreamLabs	796000	This Mod Adds 20 New Create Structures To Your World! Requires The Create...	408	1950.9803921568628
Create: Fantasizing Again	ld_anvil	254	A mod that adds some powerful things for Create!	NaN	NaN
Ponder for KubeJS	Lytho	18600000	Create custom Ponder scenes with KubeJS.	1124	16548.042704626336
Ethium Reimagined	Cashhew	85	Ethium is a Create addon that adds a powerful new metal with a complex crafting...	11	7.7272727272727275
Create Waystones Recipes	Reggarf	1100000	This mod change Waystones Recipes into create recipes	294	3741.496598639456
Cobblemon: Create Industries (3D Production Models)	Cobblemore_Studio	7700	Create + Cobblemon : 3D Production of Balls, XP Candy, new Armor and Tools.	29	265.51724137931035
Create: Food	average_anime	746000	Create: Food is an add-on for Farmer's Delight based on expanding food content found in...	519	1437.3795761078998
HolyPackage	Arp_sys	4600	Adds rare package for each holycube member.	25	184
Flat Pack Tweaks	Roxxane	5	Tweaks for the upcoming modpack Flat Pack	9	0.5555555555555556
Create Horse Power - Together Strong	TheRealXAgent	97	A mixin mod to "Create Horse Power" which enables multiple animals to work together on...	8	12.125
Create: Aquatic Ambitions	daviOliva	318000	Introduces new bulk process which allows for more options for Prismarine, Coral and Copper automation!	416	764.4230769230769
Astral Dimension Create Compats (Milling and Crushing)	MadSciSlack	14800	A lightweight and simple mod to allow Astral Dimension flowers to be processed with Create...	510	29.019607843137255
Create: Sweets & Treats (Reforged)	grosik	625	Unofficial version of Create: Sweets & Treats for Forge.	68	9.191176470588236
Create: Deep Dark [Forge/NeoForge]	robinfrt	153000	A Create mod addon featuring new end-game items based on the Deep Dark biome, making...	388	394.3298969072165
Create Encased	iglee42	4000000	Allow to use all casing on shafts/cogwheels/pipes	840	4761.9047619047615
Create: Thermantics	Skytendo06	553	Create: Thermantics adds a player temperature system fully integrated with the Create mod.	70	7.9
Create : Teleporters	Chilllliii	3300000	Create addon that adds teleporters!	840	3928.5714285714284
Create Deco	talrey	21900000	Industrial decoration themed around the aesthetics of the Create mod.	1411	15520.907158043941
Create: Rustic Structures [Forge/Fabric/NeoForge]	robinfrt	26400	This mod adds functional and decorative structures using Create blocks.	70	377.14285714285717
Create: Ice & Creams	axollen	1400	adds creams & ice creams to the create mod (will have more ice creams over...	79	17.72151898734177
Create: Herbology	DakotaPrideModding	3300	Integration between the Create mod and Hibernal Herbs	142	23.239436619718308
Portal Builder: Create Edition	bisson2000	1100	Allows you to make your own portals compatible with Create!	86	12.790697674418604
Create: More Chocolate	drenough455	21300	Adding more chocolate into create mod	414	51.44927536231884
Create: Easy Structures	M_Productions	906000	A mod that adds structures with create blocks to Minecraft	546	1659.3406593406594
Create : Creating Space	RealAntEngineer	580000	Create: Creating Space is a mod that allow you to create rocket using contraptions and...	765	758.1699346405229
Create: Creative Glue	Roxxane	651	Adds creative glue, which can move almost anything & only be made/destroyed by creative players	77	8.454545454545455
Create Optical	lpcamors	686000	Create addon all about a creative way to transport rotational energy	412	1665.0485436893205
Create: Smart Crafter	Tatnux	294000	Add an autocrafting machine with an internal inventory that can store up to 9 different...	263	1117.87072243346
Create: More Sand Papers	Dr_Mango_Tea	51200	Adds sand paper compat with biomes o plenty and oh the biomes you'll go	821	62.36297198538368
Create: Curios Jetpack & Backtank [Forge/Fabric/NeoForge]	robinfrt	395000	Use Create jetpack and backtanks in Curios/Trinkets back slot.	340	1161.764705882353
Create: Toolbox Utils	Peatral	562	Enchant toolboxes with loyalty to make them follow you around	81	6.938271604938271
Create: Additional Recipes	TheGuy790	1600000	A simple Create addon that adds more recipes, making more items automatable.	534	2996.2546816479403
